Name,image_url,faction,description,ability_description
Foltest King of Temeria,king_foltest.png,Northern Realms,"censored",Pick an Impenetrable Fog card from your deck and play it instantly.
Foltest Lord Commander of the North,lord_foltest.png,Northern Realms,"Sod advisors and their schemes. I place my trust in my soldiers blades.","Clear any weather effects (resulting from Biting Frost, Torrential Rain, or Impenetrable Fog cards) in play."
Foltest the Siegemaster,siegemaster_foltest.png,Northern Realms,"A well-aimed ballista razes not just the enemys walls, but his morale as well.",Doubles the strength of all your Siege units (unless a Commander's Horn is also present on that row).
Foltest the Steel-Forged,steel-forged_foltest.png,Northern Realms,"A beautiful day for battle.",Destroy your enemy's strongest Siege unit(s) if the combined strength of all his or her Siege units is 10 or more.
Eredin Bringer of Death,bringer_eredin.png,Monsters,"It is unavoidable.",Restore a card from your discard pile to your hand.
Eredin Commander of the Red Riders,commander_eredin.png,Monsters,"Go on. Show me your spins, pirouettes and feints. I want to watch.",Double the strength of all your Close Combat units (unless a Commander's horn is also present on that row).
Eredin Destroyer of Worlds,destroyer_eredin.png,Monsters,"I've long awaited this...",Discard 2 cards and draw 1 card of your choice from your deck.
Eredin King of the Wild Hunt,king_eredin.png,Monsters,"Have some dignity. You know how this will end.",Pick any weather card from your deck and play it instantly.
Emhyr var Emreis Emperor of Nilfgaard,emperor_emhyr.png,Nilfgaard,"Your motives do not interest me. Only results.",Look at 3 random cards from your opponent's hand.
Emhyr var Emreis His Imperial Majesty,imperial_majesty_emhyr.png,Nilfgaard,"The skies wept when my Pavetta died. They will not weep for me.",Pick a Torrential Rain card from your deck and play it instantly.
Emhyr var Emreis the Relentless,relentless_emhyr.png,Nilfgaard,"They do not call me the Patient. Take care they do not call you the Headless.",Draw a card from your opponent's discard pile.
Emhyr var Emreis the White Flame,white_flame_emhyr.png,Nilfgaard,"A sword is but one of many tools at a rulers disposal.",Passive: Cancel your opponent's Leader Ability.
Francesca Findabair the Beautiful,beautiful_francesca.png,Scoiatael,"The Elder Races have forgotten more than humans can ever hope to know.",Doubles the strength of all your Ranged Combat units (unless a Commander's Horn is also present on that row).
Francesca Findabair Daisy of the Valley,daisy_francesca.png,Scoiatael,"Do not let my beauty distract your aim.",Passive: Draw an extra card at the beginning of the battle.
Francesca Findabair Pureblood Elf,pureblood_francesca.png,Scoiatael,"To live in peace, we first must kill. This is human oppressions cruel finale.",Pick a Biting Frost card from your deck and play it instantly.
Francesca Findabair Queen of Dol Blathanna,queen_francesca.png,Scoiatael,"Ash shall fertilize the soil. By spring the valley shall bloom once more.",Destroy your enemy's strongest Close Combat unit(s) if the combined strength of all his or her Close Combat units is 10 or more.
